starttime,trips,avg_trip,subscribers,customers
2019-01-01,21962,1175.926646024952,17297,4665
2019-01-02,37797,780.9311850146837,35313,2484
2019-01-03,41676,769.5241385929552,39845,1831
2019-01-04,43922,778.1487864851327,41574,2348
2019-01-05,17432,811.470800826067,16642,790
2019-01-06,31451,864.9095100314776,28284,3167
2019-01-07,36486,754.3221509620129,35458,1028
2019-01-08,41163,806.0498505939801,40068,1095
2019-01-09,44338,802.5679326988137,43061,1277
2019-01-10,38971,791.5353467963357,38061,910
2019-01-11,32805,827.1450693491846,31876,929
2019-01-12,25131,747.6062233894394,23731,1400
2019-01-13,22752,839.8415084388186,21483,1269
2019-01-14,34970,660.7903345724907,34243,727
2019-01-15,39068,724.7935906624348,38113,955
2019-01-16,40349,740.5820218592778,39517,832
2019-01-17,38956,745.9876784064072,38092,864
2019-01-18,34227,884.2734683144886,33175,1052
2019-01-19,23748,749.8190584470271,22070,1678
2019-01-20,14249,822.0213348305144,13503,746
2019-01-21,10291,711.5775920707414,9991,300
2019-01-22,28562,699.8389118409075,27911,651
2019-01-23,41483,733.6038618229154,40524,959
2019-01-24,20081,748.8448284447986,19641,440
2019-01-25,38813,712.8023857985727,37722,1091
2019-01-26,26298,897.7671305802722,24561,1737
2019-01-27,30021,837.4053495886213,27429,2592
2019-01-28,35584,694.7606789568346,34706,878
2019-01-29,30928,687.7784208484221,30270,658
2019-01-30,25142,713.2923395115743,24658,484
2019-01-31,18631,648.4940153507595,18295,336
